waybill_sn,start_location,end_location,waybill_created_date,actual_eta,initial_eta,tri_punctuality_in_days
1087539446,"JACKSONVILLE, FL","ST LOUIS, MO",2023-07-07,10,7,-3
3630153724,"SHELBYVILLE MIX CTR, KY","BIG LIFT, CO",2023-07-07,2,1,-1
1087520154,"VOLTZ, MO","BETHINTERMODAL, PA",2023-07-07,-2,1,3
3630181913,"SELKIRK, NY","LAFAYETTE, IN",2023-07-07,7,10,3
3630162579,"ZORRA, ON","GORDON, GA",2023-07-07,5,4,-1
1087555303,"CAMPBELL ROAD YARD, OH","VON WILLER (CCRL), OH",2023-07-07,2,3,1
3630198295,"SCHENECTADY, NY","TAYLOR, PA",2023-07-06,9,9,0
1087461106,"WINSTON-SALEM, NC","WHITE PIGEON, MI",2023-07-07,11,8,-3
1087687736,"CLEVELAND, OH","COLUMBUS (CUOH), OH",2023-07-07,7,6,-1
1087627304,"MUNCY (LVRR), PA","LORDSTOWN, OH",2023-07-07,9,8,-1
1087624843,"CROXTON, NJ","KANSAS CITY, MO",2023-07-07,5,2,-3
3630166222,"NATKA (AIKR), SC","LAKE CHARLES, LA",2023-07-07,8,5,-3
1087692406,"ST LOUIS, MO","ST LOUIS, MO",2023-07-07,11,8,-3
1087667697,"CHARLESTON, SC","GREER, SC",2023-07-07,1,4,3
3630122082,"ATLANTA, GA","SANDERSVILLE, GA",2023-07-07,12,9,-3
1087521998,"CAROL, IN","FRANCISCO, IN",2023-07-07,0,3,3
3630184961,"TITUSVILLE, FL","CHICAGO 47TH ST TV, IL",2023-07-07,-1,2,3
1087560201,"LOS ANGELES, CA","AUSTELL, GA",2023-07-07,6,9,3
3630205482,"TAYLORSVILLE, MS","MONTPELIER, OH",2023-07-07,3,4,1
3630063149,"PANZACOLA, TL","MALLARD, AL",2023-07-07,3,4,1
3630167202,"GARY, IN","MIDWEST PORTAGE, IN",2023-07-07,3,4,1
3630068026,"ESCOBEDO, NL","CLEVELAND, OH",2023-07-07,9,7,-2
3630048694,"CICERO, IL","BETHINTERMODAL, PA",2023-07-07,7,4,-3
3630216920,"KNOXVILLE, TN","MOUNDSVILLE, WV",2023-07-07,8,9,1
1087532185,"LONG BEACH E PIER, CA","COLUMBUS, OH",2023-07-06,0,2,2
1087305342,"LAMBERTS POINT, VA","TOMS CREEK, VA",2023-07-07,8,8,0
3630184709,"YAZOO CITY, MS","TOMS CREEK, VA",2023-07-07,5,2,-3
3630115768,"RED DEER, AB","LOUISVILLE, KY",2023-07-07,6,9,3
3630178114,"WOODSTOCK, ON","WESTLAKE, FL",2023-07-07,2,2,0
3630122888,"MERIDIAN, MS","AUSTELL, GA",2023-07-07,1,2,1
1087645190,"LUDLOWVILLE (ITHR), NY","SHELBURNE, VT",2023-07-07,0,2,2
1087684110,"ELKHART, IN","SELMA, MO",2023-07-07,0,1,1
1087636167,"RUTHERFORD, PA","WYLIE, TX",2023-07-07,4,3,-1
1087672943,"JACKSONVILLE, FL","CALUMET, IL",2023-07-07,2,5,3
3630058893,"LOS ANGELES, CA","RUTHERFORD, PA",2023-07-07,7,8,1
1087594941,"HAVERHILL, OH","ALLEMANIA, LA",2023-07-03,3,3,0
3628888436,"WINSTON-SALEM, NC","WHITE PIGEON, MI",2023-07-07,7,10,3
1087563788,"CALVERT CITY, KY","EMORY GAP, TN",2023-07-07,-2,1,3
3630117655,"LOS ANGELES, CA","CROXTON, NJ",2023-07-07,2,3,1
1087650632,"PLEASANT VALLEY, VA","HOPEWELL, VA",2023-07-07,4,6,2
3630133229,"SELKIRK, NY","BUFFALO, NY",2023-07-07,3,1,-2
3630108664,"CLYMERS, IN","ALBION, MI",2023-07-07,5,4,-1
1087661633,"LADSON, SC","CLYATTVILLE, GA",2023-07-07,1,4,3
3630168680,"OAKWOOD, MI","GARY, IN",2023-07-07,1,4,3
1087619335,"SELKIRK, NY","BUFFALO, NY",2023-07-07,11,9,-2
3630180218,"GILBERTON, PA","FT WAYNE TBT, IN",2023-07-07,7,10,3
3630173936,"FLORENCE JCT, VT","WEST POINT, VA",2023-07-07,7,9,2
1087643025,"CHARLOTTE, NC","ICTF, CA",2023-07-07,7,5,-2
3630177485,"ASHEVILLE, NC","MARYLAND, LA",2023-07-07,2,4,2
1087592672,"LOUISVILLE, KY","LOUISVILLE, KY",2023-07-07,3,2,-1
3630213540,"RUTHERFORD, PA","CICERO, IL",2023-07-07,12,10,-2
3630107391,"SANDUSKY DOCK, OH","CROOKED CREEK MINE, PA",2023-07-07,4,6,2
1087540730,"INTERPUERTO, SL","AUSTELL, GA",2023-07-07,3,5,2
3630123397,"LIMA, OH","LORENZO, IL",2023-07-07,9,8,-1
3630175255,"TIPTON, IN","MACMILLAN, AL",2023-07-07,11,10,-1
3630127066,"BURNS HARBOR, IN","BURNS HARBOR, IN",2023-07-07,7,5,-2
3630175823,"MADAWASKA, ME","EVENDALE, OH",2023-07-07,5,5,0
3630065379,"LOS ANGELES, CA","CROXTON, NJ",2023-07-07,7,6,-1
3630094598,"CLAY, DE","GIBSON CITY, IL",2023-07-07,3,2,-1
3630077596,"DALLAS, TX","CROXTON, NJ",2023-07-07,3,2,-1
1087619911,"SELKIRK, NY","BUFFALO, NY",2023-07-07,7,6,-1
3630197930,"ALLEMANIA, LA","MECHANICSBURG, PA",2023-07-07,3,4,1
3630122032,"JESUS MARIA, SL","MELVINDALE, MI",2023-07-07,4,1,-3
3630110051,"LOUISVILLE, KY","LOUISVILLE, KY",2023-07-07,11,9,-2
1087580853,"OSCEOLA, AR","GRANITE CITY, IL",2023-07-07,10,8,-2
3630129602,"GREER, SC","CHARLESTON, SC",2023-07-07,5,2,-3
3630073461,"CHICAGO 47TH ST TV, IL","CHICAGO 47TH ST TV, IL",2023-07-07,13,10,-3
3630074572,"WEST HAZLETON, PA","CEDAR RAPIDS, IA",2023-07-07,9,6,-3
1087576228,"BIRMINGHAM, MO","CHICAGO HEIGHTS, IL",2023-07-07,1,3,2
3630127113,"BURNS HARBOR, IN","BURNS HARBOR, IN",2023-07-07,3,6,3
1087646007,"SHARONVILLE, OH","NORFOLK INTERNATION, VA",2023-07-07,6,3,-3
3630139940,"DECATUR, IL","BIRMINGHAM, AL",2023-07-07,-1,2,3
3630107333,"SANDUSKY DOCK, OH","CROOKED CREEK MINE, PA",2023-07-07,12,9,-3
3630159526,"WINNIPEG, MB","HOPEWELL, VA",2023-07-07,10,10,0
1087668643,"BIRMINGHAM, AL","BARNESVILLE, GA",2023-07-07,3,1,-2
1087673787,"MELVINDALE, MI","KANSAS CITY, MO",2023-07-07,2,5,3
1087521922,"CAROL, IN","FRANCISCO, IN",2023-07-07,7,8,1
3630079077,"WINSTON-SALEM, NC","RABER, IN",2023-07-07,5,2,-3
3630120917,"WOODSTOCK, ON","COMMERCE, GA",2023-07-07,6,9,3
3630128907,"LIMA, OH","FOSTORIA, OH",2023-07-07,7,7,0
3630125551,"GASTONIA, NC","ROBERTA, AL",2023-07-07,5,8,3
3630072732,"CLEWISTON, FL","TYNER, TN",2023-07-07,9,7,-2
1087561029,"HYCO, NC","BAILEY MINE, PA",2023-07-07,1,3,2
1087649982,"FREEPORT, TX","STATESBORO, GA",2023-07-07,6,9,3
3630055934,"MERIDIAN, MS","CHARLOTTE, NC",2023-07-07,7,5,-2
3630085858,"BOWDEN YARD, FL","CHICAGO 47TH ST TV, IL",2023-07-07,8,6,-2
1087613169,"TOLEDO, OH","INDIANA HARBOR, IN",2023-07-07,4,4,0
3630092261,"WELLSBORO, PA","WYEVILLE, WI",2023-07-07,4,5,1
3630048597,"CICERO, IL","CROXTON, NJ",2023-07-07,5,8,3
1087646308,"LOS ANGELES, CA","AUSTELL, GA",2023-07-07,0,1,1
1087704994,"GEORGETOWN, KY","TACOMA, WA",2023-07-07,8,5,-3
1087693698,"SANDERSVILLE, GA","MAHRT (CCH), AL",2023-07-07,8,5,-3
3630109911,"LOUISVILLE, KY","LOUISVILLE, KY",2023-07-07,3,1,-2
1087682388,"CHICAGO, IL","CHICAGO MIX CTR, IL",2023-07-07,7,4,-3
1087611727,"MALLARD, AL","DECATUR, AL",2023-07-07,7,7,0
1087711658,"EAST BINGHAMTON, NY","EAST BINGHAMTON, NY",2023-07-07,4,4,0
3630076451,"LOS ANGELES, CA","JACKSONVILLE, FL",2023-07-07,6,3,-3
3630067957,"CHARLOTTE INTER, NC","CHARLOTTE INTER, NC",2023-07-07,-2,1,3
3630151324,"DECATUR, IL","HOMER, IL",2023-07-07,4,6,2
3630130475,"UNION BRIDGE, MD","DURHAM, NC",2023-07-07,6,3,-3
1087573092,"TAYLOR, PA","SCHENECTADY, NY",2023-07-07,12,10,-2
3630213817,"ASHEVILLE, NC","SMYTH (BLU), NC",2023-07-07,9,6,-3
3630182977,"ORLANDO, FL","SIDNEY, IL",2023-07-07,5,5,0
3630129856,"DARROW, IL","LAFAYETTE, IN",2023-07-07,9,9,0
3630196421,"WYLIE, TX","CROXTON, NJ",2023-07-02,9,6,-3
3628755811,"CAROL, IN","FRANCISCO, IN",2023-07-07,5,2,-3
3630063034,"ST PAUL, MN","AUSTELL, GA",2023-07-07,12,10,-2
3630179479,"LAMBERTS POINT, VA","WILLIAMSON YARD, WV",2023-07-07,0,1,1
3630074077,"LAGRANGE, NL","DODGE CITY, MI",2023-07-07,1,3,2
1087667215,"AUGUSTA, GA","LULING, LA",2023-07-07,3,6,3
3630104416,"MAGNOLIA, GA","ROBERTA, AL",2023-07-07,11,9,-2
3630156196,"ELDON, TX","MONTGOMERY, NY",2023-07-07,9,6,-3
3630200131,"BENTONITE, WY","ARCHBOLD, OH",2023-07-07,1,2,1
1087521613,"CAROL, IN","FRANCISCO, IN",2023-07-07,4,2,-2
3630177605,"CARROLL, TN","LEEDS, AL",2023-07-07,6,7,1
3630169181,"GEISMAR, LA","ELLISVILLE, MS",2023-07-07,2,5,3
3630077774,"LOS ANGELES, CA","JACKSONVILLE, FL",2023-07-07,4,4,0
1087701459,"PITTSBURGH, PA","CHICAGO, IL",2023-07-07,5,5,0
3630170132,"LAFAYETTE, IN","LAFAYETTE, IN",2023-07-07,6,5,-1
1087657228,"DES MOINES, IA","DES MOINES, IA",2023-07-07,12,10,-2
3630141688,"SOLVAY, NY","MOORESVILLE, NC",2023-07-07,1,4,3
3630143826,"BAYARD, FL","MODESTO, CA",2023-07-07,5,5,0
3630147375,"DECATUR, IL","DECATUR, IL",2023-07-07,3,6,3
3630131382,"ORANGEBURG, SC","EDGERTON, IN",2023-07-07,1,3,2
1087539218,"MONROE, MI","CHICAGO, IL",2023-07-07,4,5,1
1087603708,"FARMERS VALLEY, PA","HOUSTON, TX",2023-07-07,4,4,0
1087654416,"MERIDIAN, MS","ATLANTA, GA",2023-07-07,9,9,0
3630094182,"MEMPHIS, TN","AUSTELL INTERMODAL, GA",2023-07-07,2,2,0
1087533123,"CLEVELAND, OH","GRANITE CITY, IL",2023-07-07,6,5,-1
1087659343,"OAKWOOD, MI","GARY, IN",2023-07-07,6,6,0
3630211132,"LAKE CHARLES, LA","ASHEBORO, NC",2023-07-02,0,1,1
3628723165,"LAMBERTS POINT, VA","TOMS CREEK, VA",2023-07-07,2,5,3
3630098851,"ASHEVILLE, NC","NORANDA, PQ",2023-07-07,9,9,0
1087707691,"WINSTON-SALEM, NC","HOBBS, IN",2023-07-07,8,9,1
1087595557,"RED DEER, AB","SYLACAUGA, AL",2023-07-07,1,3,2
3630124589,"TACSIM, WA","AUSTELL, GA",2023-07-07,6,9,3
3630211352,"WINSTON-SALEM, NC","HOBBS, IN",2023-07-07,7,5,-2
1087663994,"WILMINGTON, CA","PORT NEWARK ELIZABE, NJ",2023-07-07,13,10,-3
3630123949,"FLINT RIVER, GA","PARIS, TX",2023-07-07,5,7,2
3630126599,"DILLEY, TX","PICAYUNE, MS",2023-07-02,12,10,-2
3628671685,"CHARLOTTE, NC","WHITE PIGEON, MI",2023-07-07,6,7,1
3630178790,"PALMERTON, PA","COLUMBIA CITY, IN",2023-07-07,9,10,1
3630053217,"LAMBERTS POINT, VA","WILLIAMSON YARD, WV",2023-07-07,10,8,-2
3630194372,"SINKING SPRING, PA","DYERSVILLE, IA",2023-07-07,3,6,3
3630054726,"CAROL, IN","FRANCISCO, IN",2023-07-07,2,5,3
3630129026,"PAULSBORO, NJ","TULSA, OK",2023-07-07,8,8,0
3630180543,"SANDY SPRINGS, SC","CABOT, LA",2023-07-07,0,1,1
3630084844,"MEHOOPANY, PA","PHILADELPHIA, PA",2023-07-07,8,10,2
3630058631,"LONG BEACH E PIER, CA","COLUMBUS, OH",2023-07-07,10,10,0
1087538610,"FERGUSON, MS","BRAMPTON, GA",2023-07-07,3,5,2
3630110475,"ATHERTON, IN","NEAL, WV",2023-07-07,4,1,-3
1087623237,"GRANITE CITY, IL","HOPEWELL, VA",2023-07-07,1,2,1
1087532973,"TOLEDO AIRLINE, OH","TOLEDO AIRLINE, OH",2023-07-07,3,6,3
3630210673,"CLEARING CHGO, IL","BUTLER, IA",2023-07-07,6,8,2
3630152087,"EAST ST LOUIS, IL","BLUFFTON, IN",2023-07-07,6,4,-2
3630109547,"RED DEER, AB","DANVILLE, KY",2023-07-07,4,1,-3
3630171324,"YOUNGSTOWN, OH","NORTH BERGEN, NJ",2023-07-07,4,5,1
3630064917,"MONROE, MI","THUNDER JCT WEST, WY",2023-07-07,9,8,-1
1087716064,"MUNCY (LVRR), PA","BUTLER, PA",2023-07-07,8,5,-3
3630132728,"SELKIRK, NY","BUFFALO, NY",2023-07-07,9,8,-1
3630209020,"MAHANOY CITY, PA","BILLINGS, MT",2023-07-07,10,8,-2
3630196201,"DECATUR, AL","WYTHEVILLE, VA",2023-07-07,4,7,3
1087619408,"SELKIRK, NY","BUFFALO, NY",2023-07-07,3,1,-2
1087659929,"OAKWOOD, MI","GARY, IN",2023-07-07,6,6,0
3630068589,"CHICAGO, IL","COLUMBUS, OH",2023-07-07,7,5,-2
3630121947,"AUBURNDALE, FL","JACKSONVILLE, FL",2023-07-07,-2,1,3
1087559462,"COLUMBIA CITY, IN","EAST CHICAGO, IN",2023-07-03,4,6,2
3628888711,"WINSTON-SALEM, NC","WHITE PIGEON, MI",2023-07-07,0,1,1
3630207175,"ALTOONA, PA","PORTSMOUTH, OH",2023-07-07,4,2,-2
3630163240,"DALLAS, TX","CROXTON, NJ",2023-07-07,7,7,0
3630181963,"MIDWEST PORTAGE, IN","GARY, IN",2023-07-07,8,8,0
3630078631,"LOS ANGELES, CA","AUSTELL, GA",2023-07-07,7,9,2
1087602401,"HARRISBURG, NC","CLYATTVILLE, GA",2023-07-07,6,8,2
1087545798,"SAN BERNARDINO, CA","JACKSONVILLE, FL",2023-07-07,7,8,1
1087707405,"WINSTON-SALEM, NC","HOBBS, IN",2023-07-07,2,3,1
1087671442,"CHARLOTTE, NC","LOS ANGELES, CA",2023-07-07,1,2,1
1087552486,"CLEWISTON, FL","TYNER, TN",2023-07-07,2,1,-1
3630210241,"ORRVILLE, OH","EAST DECATUR, IL",2023-07-07,8,5,-3
3630114615,"ORANGE, TX","SANDY SPRINGS, SC",2023-07-02,4,7,3
3628755861,"CAROL, IN","FRANCISCO, IN",2023-07-07,6,6,0
3630080175,"HYCO, NC","BAILEY MINE, PA",2023-07-07,8,9,1
3630064967,"MONROE, MI","THUNDER JCT WEST, WY",2023-07-07,6,3,-3
3630163753,"MERIDIAN, MS","ATLANTA, GA",2023-07-02,2,4,2
3628672275,"CHARLOTTE, NC","WHITE PIGEON, MI",2023-07-07,2,4,2
3630125331,"RIVER ROUGE, MI","DETROIT, MI",2023-07-07,9,10,1
3630177574,"CARROLL, TN","LEEDS, AL",2023-07-07,-2,1,3
3630109416,"MUNCY (LVRR), PA","TOLEDO, OH",2023-07-07,3,2,-1
3630132621,"LAMBERTS POINT, VA","WILLIAMSON YARD, WV",2023-07-07,9,8,-1
3630143787,"BAYARD, FL","MODESTO, CA",2023-07-07,10,9,-1
3630186890,"TACOMA EXPORT, WA","COLUMBUS, OH",2023-07-07,2,1,-1
1087537232,"LAMBERTS POINT, VA","WILLIAMSON YARD, WV",2023-07-07,0,3,3
3630151154,"DECATUR, IL","HOMER, IL",2023-07-07,6,4,-2
3630060002,"REYBOLD, DE","YULEE, FL",2023-07-07,-1,1,2
3630145226,"WENTZVILLE, MO","VIBORILLAS, QA",2023-07-06,5,7,2
1087267536,"LAMBERTS POINT, VA","TOMS CREEK, VA",2023-07-07,3,4,1
3630211718,"WINSTON-SALEM, NC","HOBBS, IN",2023-07-02,11,10,-1
3628756516,"CAROL, IN","FRANCISCO, IN",2023-07-07,3,3,0
3630147040,"CHOCOWINITY, NC","HODGES, TN",2023-07-07,9,9,0
1087562041,"CALVERT, AL","INDIANA HARBOR, IN",2023-07-07,10,7,-3
3630156065,"ELDON, TX","STATESBORO, GA",2023-07-07,8,10,2
3630086993,"KANSAS CITY, MO","MELVINDALE, MI",2023-07-07,5,7,2
1087597583,"ROSSVILLE, TN","RUTHERFORD, PA",2023-07-07,5,2,-3
1087538775,"ALBANY, NY","CHICAGO, IL",2023-07-07,13,10,-3
3630212099,"GEISMAR, LA","BOYCE, TN",2023-07-07,4,4,0
3630102642,"DELAIR, NJ","LA PORTE, TX",2023-07-06,7,10,3
3629777777,"LAMBERTS POINT, VA","TOMS CREEK, VA",2023-07-07,10,9,-1
1087687613,"KEOKUK, IA","ELIZABETHTOWN, PA",2023-07-07,2,4,2
3630095413,"GATEWAY MINE, IL","WHEATFIELD, IN",2023-07-07,10,8,-2
3630118839,"FARMERS VALLEY, PA","HOUSTON, TX",2023-07-07,7,8,1
1087655501,"CHARLOTTE, NC","CHICAGO, IL",2023-07-07,8,6,-2
3630092203,"WELLSBORO, PA","WYEVILLE, WI",2023-07-07,3,2,-1
3630176049,"JERSEY, TN","CLYMERS, IN",2023-07-07,8,10,2
3630163931,"SHARONVILLE, OH","KALIUM, SK",2023-07-02,3,4,1
3628722850,"LAMBERTS POINT, VA","TOMS CREEK, VA",2023-07-07,0,3,3
3630093136,"BAIR, PA","BENTONITE, WY",2023-07-07,10,8,-2
3630064721,"MONROE, MI","THUNDER JCT WEST, WY",2023-07-07,2,2,0
3630174380,"PERRY, OH","PERRY, OH",2023-07-07,6,5,-1
3630218697,"BAINBRIDGE, GA","SANDERSVILLE, MS",2023-07-07,9,6,-3
1087642778,"EAST ST LOUIS, IL","BLUFFTON, IN",2023-07-07,9,6,-3
3630148347,"DECATUR, IL","DECATUR, IL",2023-07-06,1,3,2
1087305481,"LAMBERTS POINT, VA","TOMS CREEK, VA",2023-07-07,12,9,-3
3630144636,"STRANG, TX","MCINTOSH, AL",2023-07-07,6,7,1
1087557826,"LOS ANGELES, CA","JACKSONVILLE, FL",2023-07-07,2,5,3
3630156015,"ELDON, TX","SOUTH HIGH POINT, NC",2023-07-07,2,3,1
3630205759,"WARRENTON, OH","SPARTA, WI",2023-07-07,9,8,-1
3630205694,"WARRENTON, OH","SPARTA, WI",2023-07-07,6,6,0
3630131934,"JACKSON, MI","COLUMBIA CITY, IN",2023-07-07,3,4,1
3630187074,"MCCOLL, SC","STRASBURG, PA",2023-07-07,8,9,1
1087542392,"GEORGETOWN, KY","PHOENIX, AZ",2023-07-07,5,4,-1
3630194039,"HARROWBY, MB","ONEONTA, NY",2023-07-07,8,10,2
3630170182,"SOUTH RALEIGH, NC","WOODLAWN, AL",2023-07-07,7,7,0
1087694149,"AUSTELL, GA","GREER, SC",2023-07-07,3,3,0
3630167854,"MUNCY (LVRR), PA","LORDSTOWN, OH",2023-07-07,2,1,-1
3630144686,"CELCO, VA","PASADENA, TX",2023-07-07,2,5,3
3630079726,"CITY OF INDUSTRY, CA","GREENSBORO, NC",2023-07-07,6,7,1
1087552533,"CLEWISTON, FL","TYNER, TN",2023-07-07,6,4,-2
1087653389,"MONROE, MI","HAINESPORT, NJ",2023-07-07,6,3,-3
1087677812,"ASH, MI","LIVERNOIS, MI",2023-07-02,10,7,-3
3628756346,"CAROL, IN","FRANCISCO, IN",2023-07-07,3,5,2
3630056956,"LONG BEACH E PIER, CA","CLEVELAND, OH",2023-07-07,6,3,-3
1087686879,"BETHINTERMODAL, PA","ROSSVILLE, TN",2023-07-07,7,10,3
1087574284,"WAYNESBURG, PA","BETHLEHEM, PA",2023-07-07,8,7,-1
3630051118,"LAMBERTS POINT, VA","WILLIAMSON YARD, WV",2023-07-07,9,9,0
3630073267,"CLINTON, IA","VILLA RICA, GA",2023-07-07,0,2,2
3630199796,"CEDAR RAPIDS, IA","CITY POINT, FL",2023-07-07,13,10,-3
1087581273,"GENEVA (FGLK), NY","CORNING, NY",2023-07-07,3,4,1
3630054687,"CAROL, IN","FRANCISCO, IN",2023-07-07,3,3,0
3630199102,"PORTLAND, OR","CHARLOTTE, NC",2023-07-07,9,6,-3
3630064373,"RICHMOND, VA","TROUTVILLE, VA",2023-07-07,6,8,2
3630181612,"SELKIRK, NY","LAFAYETTE, IN",2023-07-07,7,8,1
3630207997,"MOGADORE, OH","WARWICK, SC",2023-07-07,10,10,0
3630107553,"SANDUSKY DOCK, OH","CROOKED CREEK MINE, PA",2023-07-07,10,9,-1
1087691947,"DECATUR, AL","FRANKLIN, IN",2023-07-07,1,4,3
3630193198,"MIRAMICHI, NB","MILFORD (DCR), DE",2023-07-06,8,5,-3
3629821267,"SURRENCY, GA","ANDERSON (ICRK), IN",2023-07-07,3,4,1
3630122600,"ARMOREL, AR","SAVANNAH, GA",2023-07-07,4,1,-3
3630086799,"SHELBURNE, VT","LUDLOWVILLE (ITHR), NY",2023-07-07,5,8,3
3630066016,"CHICAGO, IL","CHICAGO, IL",2023-07-07,2,3,1
1087596163,"CLEVELAND, OH","LONG BEACH E PIER, CA",2023-07-07,9,6,-3
1087596537,"MACUNGIE, PA","MONROE, WI",2023-07-07,0,1,1
3630188371,"TACOMA EXPORT, WA","COLUMBUS, OH",2023-07-07,6,7,1
3630198978,"LA PORTE, TX","GRIFFIN, GA",2023-07-07,6,5,-1
3630104783,"CARROLLTON, GA","FORMOSA, TX",2023-07-07,5,7,2
3630151285,"DECATUR, IL","HOMER, IL",2023-07-07,4,6,2
3630205157,"YULEE, FL","LOCKBOURNE, OH",2023-07-07,8,6,-2
1087716048,"PHOENIX, NJ","CHICAGO, IL",2023-07-07,3,6,3
3630135857,"BOWDEN YARD, FL","CHARLOTTE, NC",2023-07-07,3,6,3
1087550507,"CHICAGO 47TH ST TV, IL","CHICAGO 47TH ST TV, IL",2023-07-07,7,4,-3
1087616167,"UNION BRIDGE, MD","DURHAM, NC",2023-07-07,5,3,-2
